pre_root_id,post_root_id,activity
720575940615853851,720575940619034782,0.871824
720575940615853851,720575940604891360,0.71020997
720575940615853851,720575940619625792,0.09526491
720575940615853851,720575940642335373,0.9672258
720575940615853851,720575940619625792,0.6362817
720575940615853851,720575940624377323,0.8238932
720575940615853851,720575940624377323,0.09883976
720575940615853851,720575940631742381,0.8048259
720575940615853851,720575940630808827,0.9728694
720575940615853851,720575940618586862,0.91904676
720575940615853851,720575940632000104,0.57878864
720575940615853851,720575940639264590,0.65838647
720575940615853851,720575940627493638,0.011625528
720575940615853851,720575940611878258,0.5397495
720575940615853851,720575940614190709,1.2449758
720575940615853851,720575940627514627,0.21727145
720575940615853851,720575940617242141,0.029899359
720575940615853851,720575940637562469,1.1130362
720575940615853851,720575940628478449,0.028725266
720575940615853851,720575940632706970,0.0918982
720575940615853851,720575940614635175,0.4619938
720575940615853851,720575940611405425,0.29958582
720575940615853851,720575940635642725,0.9806534
720575940615853851,720575940627709956,0.24345493
720575940615853851,720575940611405425,0.5070312
720575940615853851,720575940635210859,0.6292434
720575940615853851,720575940642335373,0.677691
720575940615853851,720575940623626288,0.22646093
720575940615853851,720575940618586862,0.73584485
720575940615853851,720575940629593401,0.16035295
720575940615853851,720575940604211628,0.26852524
720575940615853851,720575940633075885,0.005673051
720575940615853851,720575940609030776,0.0945636
720575940615853851,720575940631454433,0.7301216
720575940615853851,720575940626217744,0.42184925
720575940615853851,720575940621388453,0.26996958
720575940615853851,720575940614190709,1.6182148
720575940615853851,720575940633299903,0.43420124
720575940615853851,720575940637562469,1.5240759
720575940615853851,720575940631412778,0.05875981
720575940615853851,720575940618878401,0.30083108
720575940615853851,720575940621089741,0.5310272
720575940615853851,720575940640177280,0.6247027
720575940615853851,720575940627947772,0.101659775
720575940615853851,720575940645126020,0.43572402
720575940615853851,720575940619559838,0.66926825
720575940615853851,720575940632852124,0.68834305
720575940615853851,720575940630808827,0.6351439
720575940615853851,720575940627947772,0.57376313
720575940615853851,720575940614635175,0.4157008
720575940615853851,720575940645126020,0.12545526
720575940615853851,720575940639264590,0.56942165
720575940615853851,720575940635210859,0.85624397
720575940615853851,720575940632706970,0.54651105
720575940615853851,720575940610956334,0.61095524
720575940615853851,720575940638642547,0.13638818
720575940615853851,720575940623626288,0.6814605
720575940615853851,720575940636592270,0.8092611
720575940615853851,720575940620553094,0.35918534
720575940615853851,720575940611878258,0.33292127
720575940615853851,720575940612840982,0.9781785
720575940615853851,720575940605714878,0.5783061
720575940615853851,720575940628659305,0.30969346
720575940615853851,720575940618098459,0.16574705
720575940615903259,720575940618878401,-0.5358672
720575940615903259,720575940617335382,-0.03793192
720575940615903259,720575940637956698,-0.3519106
720575940615903259,720575940628028163,-0.542238
720575940615903259,720575940647033396,-0.91466224
720575940615903259,720575940614128691,-0.44215536
720575940615903259,720575940620553094,-0.72128713
720575940615903259,720575940632556831,-0.0060691833
720575940615903259,720575940632894690,-0.4149753
720575940615903259,720575940621222792,-0.5790384
720575940615903259,720575940645084548,-0.7103864
720575940615903259,720575940614418794,-0.032410026
720575940615903259,720575940608501316,-0.79952264
720575940615903259,720575940627020487,-0.11495018
720575940615903259,720575940620553094,-0.64937544
720575940615903259,720575940632894690,-0.15531981
720575940615903259,720575940631454433,-0.50062835
720575940615903259,720575940604891360,-0.8742207
720575940615903259,720575940614190709,0.24083686
720575940615903259,720575940660123777,-0.8378078
720575940615903259,720575940625419495,-0.109638095
720575940615903259,720575940614635175,-0.9671186
720575940615903259,720575940645173960,-0.22682774
720575940615903259,720575940632894690,-0.676738
720575940615903259,720575940623986364,-0.69503367
720575940615903259,720575940645173960,-0.08261764
720575940615903259,720575940637507645,-0.07725477
720575940615903259,720575940635507380,-0.30947232
720575940615903259,720575940629401163,-0.52288604
720575940615903259,720575940629717097,-0.89254856
720575940615903259,720575940627020487,-0.23450124
720575940615903259,720575940615929373,0.21774435
720575940615903259,720575940639623795,-0.26037276
720575940615903259,720575940614128691,-0.12532496
720575940615903259,720575940624746940,-0.55227935
720575940615903259,720575940625419495,-0.48432374
720575940615903259,720575940629717097,-0.9520743
720575940615903259,720575940624404872,-0.21958339
720575940615903259,720575940614635175,-0.39262557
720575940615903259,720575940629662208,-0.5349139
